Date,Open,High,Low,Close,Adj Close,Volume
2016-08-12,3.610060,3.656247,3.606290,3.621371,2.792250,30077811
2016-08-15,3.612888,3.635510,3.596864,3.623257,2.793703,18421897
2016-08-16,3.600635,3.637395,3.568587,3.591209,2.768993,49659834
2016-08-17,3.611946,3.619486,3.499779,3.499779,2.698496,37220926
2016-08-18,3.524286,3.537482,3.450765,3.504492,2.702130,35748118
2016-08-19,3.500722,3.502607,3.390441,3.430971,2.645442,45885949
2016-08-22,3.412120,3.496009,3.398924,3.453593,2.662885,46964399
2016-08-23,3.468674,3.566702,3.463961,3.551621,2.738468,43638004
2016-08-24,3.545023,3.663787,3.516746,3.638338,2.805332,84506598
2016-08-25,3.616658,3.638338,3.578013,3.628912,2.798064,57188458
2016-08-26,3.618544,3.676041,3.600635,3.661902,2.823500,29132546
2016-08-29,3.628912,3.689237,3.613831,3.647763,2.812599,22672227
2016-08-30,3.653419,3.731653,3.647763,3.702433,2.854752,56967839
2016-08-31,3.723169,3.826853,3.709973,3.789150,2.921615,72214083
2016-09-01,3.795748,3.919225,3.773126,3.806116,2.934696,69512112
2016-09-02,3.817427,3.869269,3.729767,3.865498,2.980482,56617617
2016-09-05,3.872096,3.920168,3.845704,3.886235,2.996471,40519591
2016-09-06,3.925823,3.936191,3.827795,3.835336,2.957226,44104887
2016-09-07,3.838164,3.894718,3.802346,3.891890,3.000832,51887485
2016-09-08,3.897546,3.987090,3.867383,3.979550,3.068422,80358858
2016-09-09,3.946560,4.033277,3.926766,3.959756,3.053160,70950503
2016-09-12,3.855130,3.901316,3.792920,3.856072,2.973215,70039450
2016-09-13,3.891890,3.900373,3.750504,3.750504,2.891817,64559801
2016-09-14,3.771241,3.778781,3.697720,3.701490,2.854025,69566486
2016-09-15,3.698662,3.760872,3.681696,3.728825,2.875101,65348535
2016-09-16,3.710916,3.726940,3.639280,3.656247,2.819140,145523707
2016-09-19,3.716571,3.730710,3.683581,3.691122,2.846031,40230890
2016-09-20,3.666615,3.694892,3.629855,3.669914,2.829679,31724189
2016-09-21,3.760872,3.789150,3.736365,3.770298,2.907079,56641895
2016-09-22,3.799518,3.890948,3.774068,3.856072,2.973215,70022487
2016-09-23,3.798575,3.821197,3.702433,3.730710,2.876555,132891048
2016-09-26,3.701490,3.701490,3.594979,3.654361,2.817686,72757554
2016-09-27,3.685466,3.704318,3.601577,3.638338,2.805332,59057026
2016-09-28,3.677926,3.720342,3.651534,3.685466,2.841670,38534291
2016-09-29,3.732595,3.757102,3.702433,3.720342,2.868561,43662817
2016-09-30,3.610060,3.726940,3.537482,3.720342,2.868561,124623078
2016-10-03,3.732595,3.744849,3.685466,3.718457,2.867107,30944355
2016-10-04,3.732595,3.764643,3.698662,3.725055,2.872194,45055485
2016-10-05,3.683581,3.789150,3.666615,3.779724,2.914347,61191572
2016-10-06,3.808001,3.859843,3.794805,3.818369,2.944144,94190530
2016-10-07,3.806116,3.840049,3.711859,3.741078,2.884549,70795861
2016-10-10,3.732595,3.767470,3.666615,3.753332,2.893997,89733714
2016-10-11,3.756160,3.789150,3.725055,3.754274,2.894723,64012621
2016-10-12,3.769356,3.800461,3.750504,3.769356,2.906353,106078981
2016-10-13,3.731653,3.732595,3.667558,3.688294,2.843850,49445600
2016-10-14,3.706203,3.843819,3.698662,3.817427,2.943418,53034047
2016-10-17,3.783494,3.850417,3.780666,3.806116,2.934696,41165068
2016-10-18,3.808001,3.864556,3.807059,3.856072,3.006722,59890530
2016-10-19,3.863613,3.958813,3.839106,3.941847,3.073604,87975205
2016-10-20,3.949387,4.061554,3.944674,4.037989,3.148569,104989454
2016-10-21,4.030449,4.081348,4.007827,4.081348,3.182379,94731277
2016-10-24,4.114338,4.239700,4.109625,4.234045,3.301442,163445866
2016-10-25,4.219906,4.241586,4.157696,4.185974,3.263959,99517063
2016-10-26,4.236873,4.273633,4.186916,4.201997,3.276453,145675456
2016-10-27,4.224619,4.277403,4.205768,4.277403,3.335250,99430951
2016-10-28,4.251011,4.267978,4.178433,4.258552,3.320552,75484263
2016-10-31,4.218964,4.267978,4.214251,4.219906,3.290417,66710736
2016-11-01,4.235930,4.250069,4.135075,4.137902,3.226475,84217993
2016-11-02,4.085118,4.096429,4.017253,4.062496,3.167679,72905696
2016-11-03,4.061554,4.136960,4.027621,4.104912,3.200752,62250598
2016-11-04,4.070979,4.088888,4.008770,4.050243,3.158125,62899461
2016-11-07,4.147328,4.185031,4.120936,4.121879,3.213982,53438809
2016-11-08,4.143558,4.170892,4.073807,4.159582,3.243380,75796419
2016-11-09,3.950330,4.169950,3.911684,4.168065,3.249995,135392952
2016-11-10,4.241586,4.364120,4.142615,4.174663,3.255140,118407610
2016-11-11,4.234045,4.251011,3.968239,4.005942,3.123581,134127393
2016-11-14,4.075692,4.109625,3.988975,4.072865,3.175764,76603515
2016-11-15,4.090774,4.127534,4.004057,4.118108,3.211041,108013301
2016-11-16,4.128477,4.165237,4.015368,4.073807,3.176498,70313181
2016-11-17,4.037989,4.098314,4.019138,4.096429,3.194137,44974956
2016-11-18,4.128477,4.134132,4.003114,4.021023,3.135341,75843115
2016-11-21,4.043645,4.055898,3.979550,4.024793,3.138281,32041483
2016-11-22,4.059669,4.108682,4.026678,4.081348,3.182379,41609695
2016-11-23,4.078520,4.108682,4.020080,4.084176,3.184584,42866357
2016-11-24,4.100199,4.112453,4.034219,4.057783,3.164004,35163656
2016-11-25,4.071922,4.071922,4.007827,4.032334,3.144160,27459794
2016-11-28,4.033277,4.033277,3.943732,3.968239,3.094183,38911173
2016-11-29,3.968239,4.061554,3.952215,4.017253,3.132401,48427325
2016-11-30,4.034219,4.080405,3.979550,4.065324,3.169883,52960452
2016-12-01,4.053071,4.104912,4.036104,4.092659,3.191198,46950635
2016-12-02,4.036104,4.071922,4.023851,4.043645,3.152980,48187813
2016-12-05,3.978607,4.128477,3.958813,4.100199,3.197077,67594608
2016-12-06,4.109625,4.316991,4.093601,4.307566,3.358769,76027319
2016-12-07,4.354694,4.439526,4.352809,4.414077,3.441819,96163872
2016-12-08,4.430100,4.654433,4.415962,4.646893,3.623355,128008987
2016-12-09,4.617673,4.643122,4.551693,4.594108,3.582196,90714314
2016-12-12,4.590338,4.643122,4.572429,4.611075,3.595426,62979146
2016-12-13,4.591281,4.695906,4.554520,4.667629,3.639523,91788071
2016-12-14,4.658204,4.688366,4.592223,4.607304,3.592486,72226409
2016-12-15,4.609190,4.722299,4.609190,4.710988,3.673331,86503718
2016-12-16,4.681768,4.759059,4.658204,4.743978,3.699056,284170012
2016-12-19,4.712873,4.733609,4.628041,4.633697,3.613065,70872249
2016-12-20,4.618615,4.708160,4.600706,4.708160,3.671127,49128619
2016-12-21,4.682710,4.712873,4.609190,4.687423,3.654958,70749178
2016-12-22,4.679883,4.703447,4.645950,4.667629,3.639523,32140171
2016-12-23,4.700619,4.712873,4.661974,4.687423,3.654958,33594534
2016-12-27,4.671400,4.692136,4.659146,4.668572,3.640258,15121562
2016-12-28,4.653491,4.683653,4.610132,4.645007,3.621884,33010104
2016-12-29,4.612017,4.642180,4.587510,4.620501,3.602776,37626302
2016-12-30,4.613902,4.674227,4.590338,4.674227,3.644668,44179336
2017-01-02,4.638409,4.707217,4.636524,4.703447,3.667452,20481554
2017-01-03,4.712873,4.880651,4.709103,4.817499,3.756382,63383417
2017-01-04,4.838235,4.885364,4.789221,4.839178,3.773287,63903436
2017-01-05,4.829752,4.891962,4.802417,4.853316,3.784311,52036072
2017-01-06,4.840120,4.881594,4.811843,4.880651,3.805624,29360034
2017-01-09,4.882536,4.891962,4.815613,4.825982,3.762997,58501703
2017-01-10,4.846718,4.849546,4.795819,4.821269,3.759323,41206438
2017-01-11,4.836350,4.842948,4.760944,4.779796,3.726984,57163594
2017-01-12,4.760002,4.821269,4.712873,4.770370,3.719635,52386979
2017-01-13,4.790164,4.863685,4.760944,4.853316,3.784311,92058600
2017-01-16,4.800532,4.826924,4.774140,4.774140,3.722573,29747765
2017-01-17,4.760002,4.819384,4.737380,4.752461,3.705670,41517982
2017-01-18,4.788279,4.792992,4.736437,4.768485,3.718165,65011121
2017-01-19,4.795819,4.840120,4.746806,4.794877,3.738744,175771207
2017-01-20,4.777910,4.853316,4.761887,4.838235,3.772551,51000876
2017-01-23,4.802417,4.814671,4.741150,4.760002,3.711550,191775036
2017-01-24,4.778853,4.866513,4.766600,4.866513,3.794600,405452414
2017-01-25,4.967368,5.121950,4.957942,5.062568,3.947472,444229329
2017-01-26,5.137031,5.174734,5.036176,5.054085,3.940857,194957845
2017-01-27,5.062568,5.065396,4.973966,5.049372,3.937183,86294790
2017-01-30,4.995645,5.013554,4.890077,4.904215,3.863667,111323319
2017-01-31,4.901388,4.989990,4.853316,4.853316,3.823568,112794336
2017-02-01,4.910814,4.946631,4.865570,4.907043,3.865894,348185284
2017-02-02,4.957942,5.003186,4.884421,4.985277,3.927529,333694414
2017-02-03,5.014497,5.049372,4.976794,5.028635,3.961687,49775890
2017-02-06,5.009784,5.050315,4.891962,4.922124,3.877774,105916830
2017-02-07,4.882536,4.899503,4.821269,4.824097,3.800548,269239806
2017-02-08,4.827867,4.854259,4.648778,4.757174,3.747824,111539848
2017-02-09,4.749633,4.832580,4.704390,4.832580,3.807230,63312126
2017-02-10,4.852374,4.866513,4.722299,4.751518,3.743368,43992968
2017-02-13,4.785451,4.852374,4.743978,4.836350,3.810201,48978914
2017-02-14,4.827867,4.896675,4.809015,4.874053,3.839904,50018396
2017-02-15,4.920239,4.978679,4.902330,4.957942,3.905994,60524946
2017-02-16,4.948517,4.967368,4.887249,4.907986,3.866637,46140121
2017-02-17,4.902330,4.920239,4.786394,4.844833,3.816884,48520492
2017-02-20,4.880651,4.901388,4.833522,4.866513,3.833963,42186391
2017-02-21,4.853316,4.934378,4.807130,4.901388,3.861439,45010420
2017-02-22,4.923067,4.945689,4.782623,4.809958,3.789409,67737981
2017-02-23,4.837293,4.866513,4.796762,4.822211,3.799061,51174288
2017-02-24,4.834465,4.861800,4.716643,4.759059,3.749310,71930757
2017-02-27,4.794877,4.799590,4.759059,4.766600,3.755250,26222116
2017-02-28,4.811843,4.873111,4.776025,4.858029,3.827280,91186596
2017-03-01,4.882536,5.013554,4.882536,5.013554,3.949807,72885739
2017-03-02,5.013554,5.023922,4.928722,4.928722,3.882973,69603451
2017-03-03,4.915526,5.026750,4.886307,5.009784,3.946836,69336649
2017-03-06,4.972081,5.028635,4.957942,4.980564,3.923816,40010166
2017-03-07,4.996588,5.004128,4.944746,4.983392,3.926044,51612440
2017-03-08,4.983392,5.061625,4.971138,5.035233,3.966886,51478085
2017-03-09,5.028635,5.158711,5.019210,5.158711,4.064165,122098459
2017-03-10,5.146457,5.264279,5.118180,5.174734,4.076789,100427346
2017-03-13,5.179447,5.181332,5.111582,5.147400,4.055254,51781944
2017-03-14,5.137031,5.146457,5.045602,5.052200,3.980253,52290641
2017-03-15,5.058798,5.150227,5.053142,5.121008,4.034461,50846337
2017-03-16,5.193586,5.331202,5.185103,5.311408,4.184464,150456475
2017-03-17,5.278418,5.375503,5.271820,5.325546,4.195602,174272280
2017-03-20,5.284073,5.341570,5.269934,5.312350,4.185206,63487708
2017-03-21,5.363249,5.442426,5.301982,5.332144,4.200799,66535758
2017-03-22,5.280303,5.399067,5.214323,5.354766,4.218621,124480005
2017-03-23,5.370790,5.419804,5.321776,5.395297,4.250554,68257470
2017-03-24,5.388699,5.413206,5.344398,5.386814,4.243871,91338818
2017-03-27,5.308580,5.359479,5.287843,5.339685,4.206741,77956846
2017-03-28,5.382101,5.429230,5.343455,5.429230,4.277287,52390717
2017-03-29,5.429230,5.462220,5.338742,5.393412,4.249069,82810414
2017-03-30,5.384929,5.416976,5.353824,5.415091,4.266148,38734427
2017-03-31,5.378331,5.415091,5.353824,5.415091,4.266148,64036987
2017-04-03,5.416034,5.416034,5.301039,5.320833,4.191889,43910119
2017-04-04,5.302925,5.343455,5.233174,5.337800,4.205256,54288772
2017-04-05,5.344398,5.456564,5.338742,5.372675,4.232731,52545878
2017-04-06,5.330259,5.440540,5.288786,5.429230,4.277287,53697838
2017-04-07,5.372675,5.448081,5.372675,5.443368,4.288425,45253344
2017-04-10,5.417919,5.428287,5.351938,5.351938,4.216393,68295090
2017-04-11,5.316121,5.352881,5.252968,5.311408,4.184464,66068981
2017-04-12,5.334972,5.376445,5.241657,5.243542,4.130997,78692898
2017-04-13,5.244485,5.244485,5.121008,5.171907,4.074560,79064014
2017-04-18,5.221863,5.221863,5.122893,5.160596,4.065650,158189577
2017-04-19,5.181332,5.314235,5.170964,5.314235,4.186691,430303549
2017-04-20,5.304810,5.399067,5.287843,5.334972,4.203027,240884584
2017-04-21,5.347226,5.400952,5.279360,5.344398,4.210455,130732872
2017-04-24,5.561190,5.655448,5.534798,5.655448,4.455507,292260548
2017-04-25,5.655448,5.740279,5.609261,5.693150,4.485209,102365855
2017-04-26,5.749705,5.760073,5.610204,5.702576,4.492636,242022657
2017-04-27,5.655448,5.664873,5.584754,5.600778,4.452918,208012447
2017-04-28,5.566845,5.721428,5.537626,5.643194,4.486642,162998980
2017-05-02,5.663931,5.719543,5.655448,5.708232,4.538349,198344809
2017-05-03,5.695978,5.724255,5.672414,5.724255,4.551090,196120994
2017-05-04,5.736509,5.819455,5.728026,5.813800,4.622282,266285988
2017-05-05,5.795891,5.935392,5.772327,5.935392,4.718954,260360930
2017-05-08,5.961784,5.985349,5.808145,5.905230,4.694974,146119096
2017-05-09,5.938220,5.961784,5.797776,5.804374,4.614788,64852815
2017-05-10,5.777982,5.829824,5.695978,5.780810,4.596053,74686246
2017-05-11,5.795891,5.807202,5.667701,5.712002,4.541347,63181498
2017-05-12,5.702576,5.745935,5.662046,5.681840,4.517367,37713167
2017-05-15,5.730853,5.791178,5.702576,5.791178,4.604297,40410711
2017-05-16,5.792121,5.809087,5.730853,5.782695,4.597551,40564994
2017-05-17,5.744050,5.786465,5.599836,5.615859,4.464909,70673417
2017-05-18,5.476358,5.540453,5.308580,5.408493,4.300042,122945589
2017-05-19,5.448081,5.509348,5.411321,5.498038,4.371235,99924950
2017-05-22,5.495210,5.513119,5.380216,5.380216,4.277559,63782894
2017-05-23,5.371733,5.518774,5.350053,5.503693,4.375731,49788561
2017-05-24,5.521602,5.573444,5.483899,5.537626,4.402709,49118573
2017-05-25,5.598893,5.607376,5.532913,5.547051,4.410203,32089841
2017-05-26,5.522544,5.537626,5.422632,5.530085,4.396712,39763261
2017-05-29,5.499923,5.547994,5.488612,5.527257,4.394465,17255448
2017-05-30,5.452794,5.569673,5.445253,5.467875,4.347254,66427911
2017-05-31,5.466933,5.510291,5.422632,5.449024,4.332266,83593764
2017-06-01,5.451851,5.471645,5.388699,5.457507,4.339010,78852778
2017-06-02,5.526315,5.578156,5.444311,5.485784,4.361492,52374633
2017-06-05,5.456564,5.494267,5.397182,5.476358,4.353998,27872737
2017-06-06,5.424517,5.495210,5.416034,5.466933,4.346504,47850482
2017-06-07,5.325546,5.511234,5.283131,5.418861,4.308284,234802219
2017-06-08,5.387756,5.702576,5.382101,5.702576,4.533853,129428890
2017-06-09,5.685610,5.777982,5.610204,5.768556,4.586311,92210091
2017-06-12,5.731796,5.777982,5.661103,5.716715,4.545094,86309560
2017-06-13,5.749705,5.776097,5.697863,5.711059,4.540597,57577601
2017-06-14,5.725198,5.758188,5.572501,5.589467,4.443925,73604835
2017-06-15,5.561190,5.602663,5.470703,5.548937,4.411702,168482290
2017-06-16,5.575329,5.617745,5.478243,5.517832,4.386972,133304929
2017-06-19,5.601721,5.630941,5.556477,5.585697,4.440928,33908139
2017-06-20,5.636596,5.646022,5.488612,5.520659,4.389218,50359695
2017-06-21,5.514061,5.546109,5.410378,5.514061,4.383974,40880802
2017-06-22,5.493325,5.538568,5.436770,5.519717,4.388470,49267473
2017-06-23,5.501808,5.542339,5.437713,5.462220,4.342757,45811169
2017-06-26,5.504636,5.570616,5.489554,5.509348,4.380226,38162053
2017-06-27,5.513119,5.583812,5.472588,5.547051,4.410203,42070504
2017-06-28,5.521602,5.670529,5.466933,5.654505,4.495634,65202196
2017-06-29,5.702576,5.749705,5.561190,5.569673,4.428188,65734414
2017-06-30,5.613032,5.620572,5.440540,5.459392,4.340509,59211391
2017-07-03,5.514061,5.664873,5.487669,5.657333,4.497882,44998372
2017-07-04,5.563075,5.676184,5.547051,5.613032,4.462661,271209995
2017-07-05,5.584754,5.649792,5.571558,5.580984,4.437181,87323176
2017-07-06,5.605293,5.641709,5.505626,5.631168,4.477080,71372373
2017-07-07,5.604334,5.621584,5.520001,5.566959,4.426030,106558815
2017-07-10,5.586126,5.599543,5.502751,5.566959,4.426030,52073671
2017-07-11,5.573668,5.581334,5.509459,5.522876,4.390982,71763510
2017-07-12,5.538209,5.566959,5.519043,5.544918,4.408506,108759567
2017-07-13,5.558334,5.633084,5.545876,5.606251,4.457269,93052782
2017-07-14,5.596668,5.629251,5.520001,5.553543,4.415364,64142459
2017-07-17,5.542043,5.548751,5.467293,5.496043,4.369649,64897658
2017-07-18,5.462501,5.512334,5.405001,5.447168,4.330790,70297036
2017-07-19,5.376251,5.440459,5.271792,5.419376,4.308694,180507014
2017-07-20,5.366668,5.527668,5.357084,5.481668,4.358220,149211724
2017-07-21,5.469209,5.488376,5.378168,5.402126,4.294980,73125463
2017-07-24,5.407876,5.497959,5.365709,5.466334,4.346029,47323133
2017-07-25,5.460584,5.623501,5.460584,5.566959,4.426030,124101776
2017-07-26,5.571751,5.580376,5.512334,5.564084,4.423744,330205866
2017-07-27,5.525751,5.590918,5.517126,5.566001,4.425268,144334753
2017-07-28,5.534376,5.576543,5.502751,5.558334,4.419172,158867060
2017-07-31,5.554501,5.598584,5.518084,5.533418,4.399363,123621377
2017-08-01,5.617751,5.619668,5.539168,5.581334,4.437459,92575508
2017-08-02,5.558334,5.572709,5.462501,5.476876,4.399736,74954759
2017-08-03,5.462501,5.518084,5.377209,5.518084,4.432840,109945251
2017-08-04,5.490293,5.612001,5.471126,5.572709,4.476722,96920465
2017-08-07,5.577501,5.593793,5.563126,5.589001,4.489809,21196124
2017-08-08,5.587084,5.630209,5.570793,5.609126,4.505977,139308889
2017-08-09,5.612959,5.617751,5.445251,5.493168,4.412824,182148350
2017-08-10,5.480709,5.481668,5.336001,5.366668,4.311203,81526683
2017-08-11,5.309167,5.328334,5.196084,5.243042,4.211891,148215034
2017-08-14,5.289042,5.395418,5.280417,5.359959,4.305813,29794632
2017-08-15,5.352293,5.380084,5.323542,5.375293,4.318131,24688966
2017-08-16,5.400209,5.452918,5.393501,5.406918,4.343536,42057727
2017-08-17,5.405001,5.412668,5.264126,5.271792,4.234986,52939727
2017-08-18,5.175959,5.267959,5.155834,5.261251,4.226518,52070285
2017-08-21,5.256459,5.269876,5.189376,5.211417,4.186485,38089136
2017-08-22,5.256459,5.285209,5.215251,5.252626,4.219589,25363879
2017-08-23,5.265084,5.289042,5.175959,5.206626,4.182637,30214983
2017-08-24,5.237292,5.292876,5.213334,5.242084,4.211120,41112907
2017-08-25,5.258376,5.315876,5.242084,5.242084,4.211120,20412651
2017-08-28,5.222917,5.270834,5.207584,5.219084,4.192645,38825467
2017-08-29,5.188417,5.200876,5.136667,5.146251,4.134136,46307688
2017-08-30,5.205667,5.206626,5.143376,5.181709,4.162620,37889187
2017-08-31,5.213334,5.290001,5.205667,5.231542,4.202652,74659336
2017-09-01,5.257417,5.278501,5.213334,5.248792,4.216510,38561255
2017-09-04,5.176917,5.221959,5.176917,5.213334,4.188025,22886691
2017-09-05,5.221959,5.244959,5.126126,5.126126,4.117968,33292472
2017-09-06,5.098334,5.131876,5.071501,5.082042,4.082555,37204451
2017-09-07,5.118459,5.125167,5.050417,5.060001,4.064849,79076622
2017-09-08,5.098334,5.187459,5.083959,5.121334,4.114120,51054258
2017-09-11,5.192251,5.310126,5.177876,5.292876,4.251924,42719292
2017-09-12,5.302459,5.357084,5.272751,5.339834,4.289646,45449337
2017-09-13,5.334084,5.388709,5.312042,5.360918,4.306584,55337572
2017-09-14,5.347501,5.432793,5.316834,5.422251,4.355855,42407084
2017-09-15,5.375293,5.427043,5.322584,5.354209,4.301194,196477038
2017-09-18,5.397334,5.426084,5.368584,5.391584,4.331218,32999192
2017-09-19,5.397334,5.459626,5.396376,5.439501,4.369712,31627785
2017-09-20,5.436626,5.461543,5.344626,5.391584,4.331218,73753020
2017-09-21,5.428959,5.494126,5.410751,5.455793,4.382799,43933879
2017-09-22,5.463459,5.499876,5.452918,5.499876,4.418213,38887960
2017-09-25,5.496043,5.496043,5.406918,5.437584,4.368172,38507921
2017-09-26,5.414584,5.469209,5.406918,5.429918,4.362013,63690001
2017-09-27,5.452918,5.654168,5.445251,5.615834,4.511366,70687829
2017-09-28,5.615834,5.697293,5.610084,5.644584,4.534461,51708481
2017-09-29,5.635001,5.665668,5.589001,5.660876,4.547549,66985179
2017-10-02,5.540126,5.627334,5.487418,5.569834,4.474413,58637969
2017-10-03,5.596668,5.622543,5.496043,5.582293,4.484421,57605486
2017-10-04,5.565043,5.565043,5.349418,5.368584,4.312743,128640662
2017-10-05,5.368584,5.596668,5.336001,5.525751,4.438999,96748369
2017-10-06,5.506584,5.554501,5.467293,5.533418,4.445158,101384591
2017-10-09,5.550668,5.624459,5.520001,5.538209,4.449008,72512123
2017-10-10,5.557376,5.558334,5.355168,5.376251,4.318902,181777457
2017-10-11,5.538209,5.538209,5.384876,5.410751,4.346616,94525988
2017-10-12,5.430876,5.433751,5.371459,5.395418,4.334299,28025437
2017-10-13,5.413626,5.413626,5.321626,5.332167,4.283487,39451980
2017-10-16,5.331209,5.364751,5.252626,5.333126,4.284258,35796348
2017-10-17,5.358043,5.451001,5.330251,5.395418,4.334299,46496198
2017-10-18,5.395418,5.409793,5.310126,5.404043,4.372292,38727625
2017-10-19,5.395418,5.412668,5.313001,5.338876,4.319565,44812895
2017-10-20,5.338876,5.381043,5.323542,5.366668,4.342052,46992046
2017-10-23,5.347501,5.359959,5.299584,5.309167,4.295529,29546432
2017-10-24,5.286167,5.401168,5.281376,5.390626,4.361436,162848284
2017-10-25,5.400209,5.491251,5.371459,5.397334,4.366864,85260237
2017-10-26,5.364751,5.631168,5.359001,5.570793,4.507205,118278406
2017-10-27,5.558334,5.592834,5.411709,5.460584,4.418038,146901755
2017-10-30,5.586126,5.605293,5.536293,5.583251,4.517285,62286189
2017-10-31,5.586126,5.660876,5.560251,5.580376,4.514958,57787023
2017-11-01,5.623501,5.635959,5.567918,5.588043,4.521162,52366253
2017-11-02,5.601459,5.618709,5.518084,5.577501,4.512633,46742781
2017-11-03,5.566959,5.571751,5.428001,5.473043,4.428118,45096184
2017-11-06,5.467293,5.467293,5.380084,5.405959,4.373842,48429295
2017-11-07,5.460584,5.470168,5.382001,5.385834,4.357559,53030407
2017-11-08,5.376251,5.384876,5.294792,5.366668,4.342052,42974556
2017-11-09,5.372418,5.422251,5.326417,5.326417,4.309486,56249571
2017-11-10,5.319709,5.397334,5.314917,5.331209,4.313363,76460211
2017-11-13,5.348459,5.357084,5.253584,5.304376,4.291653,32815662
2017-11-14,5.299584,5.342709,5.225792,5.231542,4.232725,43610227
2017-11-15,5.184584,5.306292,5.152001,5.296709,4.285450,47134472
2017-11-16,5.338876,5.393501,5.292876,5.302459,4.290102,36928953
2017-11-17,5.304376,5.348459,5.252626,5.252626,4.249784,49327053
2017-11-20,5.245917,5.299584,5.235376,5.268917,4.262964,32278609
2017-11-21,5.255501,5.326417,5.236334,5.239209,4.238929,27165538
2017-11-22,5.242084,5.322584,5.242084,5.267959,4.262190,31798176
2017-11-23,5.241126,5.309167,5.224834,5.282334,4.273819,34342264
2017-11-24,5.305334,5.386793,5.288084,5.325459,4.308712,68181589
2017-11-27,5.309167,5.391584,5.290959,5.340793,4.321117,74279952
2017-11-28,5.361876,5.389668,5.329292,5.367626,4.342827,28601884
2017-11-29,5.414584,5.505626,5.400209,5.466334,4.422690,60690629
2017-11-30,5.472084,5.540126,5.407876,5.407876,4.375392,93859137
2017-12-01,5.407876,5.423209,5.272751,5.273709,4.266841,63650480
2017-12-04,5.347501,5.376251,5.316834,5.344626,4.324219,35688563
2017-12-05,5.366668,5.371459,5.310126,5.326417,4.309486,28646744
2017-12-06,5.299584,5.304376,5.230584,5.271792,4.265290,60524823
2017-12-07,5.290001,5.318751,5.242084,5.300542,4.288552,49054334
2017-12-08,5.346543,5.452918,5.340793,5.395418,4.365314,53611226
2017-12-11,5.414584,5.446209,5.390626,5.401168,4.369965,34209793
2017-12-12,5.421293,5.461543,5.382001,5.445251,4.405632,54999667
2017-12-13,5.414584,5.483584,5.412668,5.419376,4.384697,43781900
2017-12-14,5.401168,5.460584,5.357084,5.382001,4.354457,48926959
2017-12-15,5.376251,5.417459,5.358043,5.389668,4.360661,88648345
2017-12-18,5.408834,5.437584,5.387751,5.434709,4.397102,45496808
2017-12-19,5.418418,5.459626,5.418418,5.436626,4.398654,43715030
2017-12-20,5.442376,5.450043,5.363793,5.396376,4.366088,39349214
2017-12-21,5.366668,5.493168,5.358043,5.478793,4.432770,50853703
2017-12-22,5.365709,5.419376,5.358043,5.360918,4.337400,35826347
2017-12-27,5.348459,5.392543,5.321626,5.328334,4.311036,18973348
2017-12-28,5.319709,5.337918,5.275626,5.281376,4.273044,27325373
2017-12-29,5.287126,5.292876,5.237292,5.250709,4.248233,34514318
2018-01-02,5.296709,5.309167,5.208542,5.226751,4.228848,42328197
2018-01-03,5.251667,5.251667,5.196084,5.227709,4.229623,39803241
2018-01-04,5.251667,5.408834,5.245917,5.403084,4.371515,79845822
2018-01-05,5.424168,5.490293,5.399251,5.438543,4.400204,42225680
2018-01-08,5.456751,5.495084,5.428959,5.454834,4.413385,39300984
2018-01-09,5.448126,5.497959,5.431834,5.464418,4.421140,28509394
2018-01-10,5.462501,5.604334,5.454834,5.596668,4.528140,88086565
2018-01-11,5.596668,5.733709,5.583251,5.665668,4.583967,73777013
2018-01-12,5.682918,5.726043,5.646501,5.671418,4.588618,54866916
2018-01-15,5.658001,5.690584,5.637876,5.654168,4.574662,51823061
2018-01-16,5.646501,5.716459,5.626376,5.692501,4.605676,104555115
2018-01-17,5.644584,5.681959,5.611043,5.648418,4.570009,85259910
2018-01-18,5.676209,5.691543,5.631168,5.656084,4.576211,68316223
2018-01-19,5.673334,5.719334,5.642668,5.682918,4.597923,59691747
2018-01-22,5.702084,5.813251,5.682918,5.782584,4.678561,128536737
2018-01-23,5.826668,5.836251,5.721251,5.759584,4.659952,285525426
2018-01-24,5.750001,5.779709,5.732751,5.732751,4.638242,351642978
2018-01-25,5.750001,5.825709,5.750001,5.822834,4.711126,369032463
2018-01-26,5.802709,5.839126,5.776834,5.804626,4.696395,133824983
2018-01-29,5.836251,5.838168,5.774918,5.795043,4.688641,73864417
2018-01-30,5.721251,5.740418,5.668543,5.683876,4.644785,42601976
2018-01-31,5.721251,5.754793,5.688668,5.733709,4.685508,107964858
2018-02-01,5.807501,5.810376,5.658001,5.693459,4.652616,102019629
2018-02-02,5.658959,5.703043,5.591876,5.610084,4.584484,210046488
2018-02-05,5.543959,5.619668,5.515209,5.538209,4.525748,236759860
2018-02-06,5.376251,5.510418,5.338876,5.376251,4.393398,312822243
2018-02-07,5.489334,5.510418,5.342709,5.492209,4.488158,118474196
2018-02-08,5.459626,5.505626,5.318751,5.347501,4.369905,130851043
2018-02-09,5.334084,5.336959,5.180751,5.254542,4.293939,89436254
2018-02-12,5.357084,5.387751,5.299584,5.348459,4.370687,57940576
2018-02-13,5.363793,5.370501,5.245917,5.247834,4.288458,52475031
2018-02-14,5.311084,5.313959,5.196084,5.265084,4.302554,57622418
2018-02-15,5.316834,5.443334,5.254542,5.288084,4.321349,53330867
